participant_id,age,sex,education_level,background_SES,social.ideology,social.ideology.scale,social.identity,social.identity.scale,political.interest,political.interest.scale
sub-0415,23.0,male,medium,4.0,1.0,-1.17542691205401,2,-1.01142350762028,2.0,-1.38982980710917
sub-0460,20.5,female,low,2.5,1.25,-0.757150225741696,6,2.07161921600328,6.66666666666667,1.40838942446142
sub-0090,22.5,male,high,5.0,1.25,-0.757150225741696,4,0.530097854191498,,
sub-0233,25.0,male,low,5.0,2.0,0.497679833195258,4,0.530097854191498,,
sub-0012,20.75,male,high,4.5,1.0,-1.17542691205401,2,-1.01142350762028,,
sub-0314,23.25,female,high,6.0,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0837,24.5,male,high,2.0,1.0,-1.17542691205401,5,1.30085853509739,1.0,-1.98944821387429
sub-0225,20.25,male,medium,3.0,2.5,1.33423320581989,3,-0.24066282671439,,
sub-0746,22.75,female,high,6.0,1.0,-1.17542691205401,2,-1.01142350762028,6.0,1.00864381995134
sub-0477,22.75,female,medium,6.0,2.25,0.915956519507576,3,-0.24066282671439,5.33333333333333,0.608898215441253
sub-0107,25.25,female,low,2.0,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0171,24.0,male,high,6.0,1.25,-0.757150225741696,3,-0.24066282671439,,
sub-0157,22.75,male,high,5.5,2.25,0.915956519507576,4,0.530097854191498,,
sub-0001,22.0,female,medium,2.0,1.0,-1.17542691205401,2,-1.01142350762028,,
sub-0018,20.5,male,high,6.0,2.5,1.33423320581989,3,-0.24066282671439,,
sub-0745,23.5,male,high,6.0,2.5,1.33423320581989,4,0.530097854191498,3.66666666666667,-0.390465795833958
sub-0342,25.25,female,medium,3.0,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0048,21.0,male,high,6.0,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0518,20.5,female,high,3.0,1.25,-0.757150225741696,4,0.530097854191498,1.0,-1.98944821387429
sub-0139,20.0,male,medium,5.0,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0689,23.5,female,high,2.0,1.25,-0.757150225741696,4,0.530097854191498,3.0,-0.790211400344042
sub-0707,22.75,female,high,5.0,1.5,-0.338873539429378,3,-0.24066282671439,3.33333333333333,-0.590338598089
sub-0312,20.5,female,medium,3.0,1.5,-0.338873539429378,2,-1.01142350762028,,
sub-0877,20.5,male,medium,4.5,1.75,0.0794031468829401,2,-1.01142350762028,5.66666666666667,0.808771017696296
sub-0163,23.5,male,medium,3.5,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0581,24.5,male,high,2.0,1.75,0.0794031468829401,4,0.530097854191498,3.66666666666667,-0.390465795833958
sub-0258,21.5,male,medium,2.5,4.75,5.09872338263076,4,0.530097854191498,,
sub-0541,24.5,female,high,5.0,1.75,0.0794031468829401,5,1.30085853509739,2.33333333333333,-1.18995700485413
sub-0711,25.25,female,medium,5.0,1.5,-0.338873539429378,2,-1.01142350762028,3.66666666666667,-0.390465795833958
sub-0219,21.25,female,high,6.0,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0888,20.5,female,high,5.0,2.25,0.915956519507576,3,-0.24066282671439,5.66666666666667,0.808771017696296
sub-0791,22.25,female,high,4.0,1.5,-0.338873539429378,3,-0.24066282671439,2.33333333333333,-1.18995700485413
sub-0269,25.75,female,high,5.0,1.5,-0.338873539429378,2,-1.01142350762028,,
sub-0844,23.0,male,medium,4.5,2.5,1.33423320581989,4,0.530097854191498,2.0,-1.38982980710917
sub-0252,25.0,male,medium,3.0,2.5,1.33423320581989,4,0.530097854191498,,
sub-0582,23.25,female,medium,3.5,1.25,-0.757150225741696,2,-1.01142350762028,5.33333333333333,0.608898215441253
sub-0790,22.75,female,high,5.0,1.75,0.0794031468829401,3,-0.24066282671439,5.0,0.409025413186211
sub-0567,22.25,male,medium,4.0,1.5,-0.338873539429378,4,0.530097854191498,6.33333333333333,1.20851662220638
sub-0515,22.5,female,medium,5.0,2.25,0.915956519507576,2,-1.01142350762028,4.0,-0.190592993578915
sub-0741,24.25,male,medium,2.0,3.0,2.17078657844453,5,1.30085853509739,5.0,0.409025413186211
sub-0732,20.75,female,high,4.0,2.75,1.75250989213221,4,0.530097854191498,2.33333333333333,-1.18995700485413
sub-0881,23.5,male,low,4.0,3.25,2.58906326475685,4,0.530097854191498,3.0,-0.790211400344042
sub-0852,23.5,female,high,5.0,2.25,0.915956519507576,2,-1.01142350762028,5.33333333333333,0.608898215441253
sub-0284,26.0,female,high,4.5,1.0,-1.17542691205401,5,1.30085853509739,,
sub-0495,21.0,female,medium,4.0,1.25,-0.757150225741696,4,0.530097854191498,5.0,0.409025413186211
sub-0893,24.0,female,medium,3.0,3.0,2.17078657844453,3,-0.24066282671439,3.33333333333333,-0.590338598089
sub-0766,22.5,female,high,4.0,2.25,0.915956519507576,5,1.30085853509739,3.0,-0.790211400344042
sub-0860,25.5,female,high,6.0,1.5,-0.338873539429378,1,-1.78218418852617,7.0,1.60826222671646
sub-0153,24.25,male,high,6.0,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0007,20.25,male,medium,4.0,1.75,0.0794031468829401,5,1.30085853509739,,
sub-0192,20.25,female,medium,4.0,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0186,21.25,male,high,5.5,1.5,-0.338873539429378,2,-1.01142350762028,,
sub-0563,20.75,female,medium,3.0,1.5,-0.338873539429378,1,-1.78218418852617,7.0,1.60826222671646
sub-0511,23.25,female,high,5.0,2.5,1.33423320581989,3,-0.24066282671439,6.66666666666667,1.40838942446142
sub-0196,21.75,male,high,4.5,1.25,-0.757150225741696,4,0.530097854191498,,
sub-0296,23.5,female,high,5.5,1.25,-0.757150225741696,1,-1.78218418852617,,
sub-0388,23.75,male,medium,4.0,2.0,0.497679833195258,1,-1.78218418852617,,
sub-0853,23.0,male,high,4.5,2.75,1.75250989213221,1,-1.78218418852617,5.0,0.409025413186211
