"","AOMICID","income","female","education","hand","econ.ideology","econ.ideology.scale","social.ideology","social.ideology.scale","economic.identity","economic.identity.scale","social.identity","social.identity.scale","political.interest","political.interest.scale","non.voting","unfaithful.voting","vote.2010","vote.next","alpha","beta","gamma","delta","Fscale","ACC","rAmyg","rAmygW","lAmyg"
"827","855","Dubbel-modaal tot driemaal-modaal (65000-100000 euro in 2010) ",1,NA,"Rechtshandig",4,1.50408639714209,1.5,-0.338873539429378,4,0.127260701341909,3,-0.24066282671439,5.66666666666667,0.808771017696296,1,5,"D66","D66",-0.00291861251503796,0.555167388326278,0.497027301082726,0.35731079684271,0.75,336,624,392,614
"828","856","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Linkshandig",3.5,0.827808744695738,2.5,1.33423320581989,5,0.737605557528972,3,-0.24066282671439,2,-1.38982980710917,0,4,"VVD","VVD",-1.61065716365595,-0.145331777048764,0.497027301082726,1.97190896007571,0.75,354,653,393,767
"829","857","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,NA,"Rechtshandig",1.75,-1.53916303886648,1.5,-0.338873539429378,4,0.127260701341909,4,0.530097854191498,3.66666666666667,-0.390465795833958,0,3,"PvdA","PvdA",0.80095066305542,-0.495581359736285,0.75643949287685,0.35731079684271,0.4375,343,656,412,602
"830","858","Beneden-modaal (minder dan 32500)",0,NA,"Rechtshandig",3.25,0.489669918472564,2.25,0.915956519507576,5,0.737605557528972,4,0.530097854191498,2.66666666666667,-0.990084202599084,1,1,"Partij voor de dieren","Partij voor de dieren",-0.806787888085496,0.204917805638757,2.57232483543572,-0.449988284773788,0.75,342,741,463,729
"831","859","Meer dan driemaal modaal (100000 euro en meer) ",0,NA,"Rechtshandig",4.75,2.51850287581161,2,0.497679833195258,7,1.9582952699031,1,-1.78218418852617,7,1.60826222671646,1,5,"VVD","D66",-1.61065716365595,-0.495581359736285,1.01585168467097,1.97190896007571,0.75,348,621,380,644
"832","860","Dubbel-modaal tot driemaal-modaal (65000-100000 euro in 2010) ",0,NA,"Rechtshandig",3.75,1.16594757091891,1.5,-0.338873539429378,6,1.34795041371604,1,-1.78218418852617,7,1.60826222671646,1,1,"VVD","VVD",0.80095066305542,-1.19608052511133,-0.021797082505523,0.0882111029705443,0.5625,310,684,433,460
"833","861","Beneden-modaal (minder dan 32500)",0,NA,"Rechtshandig",3.25,0.489669918472564,1.75,0.0794031468829401,1,-1.70377386721928,7,2.84237989690916,1.33333333333333,-1.78957541161925,0,7,"PvdA","PvdA",0.399016025270191,0.905416971013799,-0.021797082505523,-0.988187672518121,0.4375,324,708,437,749
"834","862","Beneden-modaal (minder dan 32500)",1,NA,"Rechtshandig",2.75,-0.186607733973785,1.75,0.0794031468829401,3,-0.483084154845155,5,1.30085853509739,1.33333333333333,-1.78957541161925,0,7,"D66","D66",-0.00291861251503796,-1.89657969048637,0.497027301082726,-0.988187672518121,0.5625,348,725,445,716
"835","863","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,NA,"Rechtshandig",3.25,0.489669918472564,2,0.497679833195258,5,0.737605557528972,4,0.530097854191498,4.33333333333333,0.00927980867612666,1,5,"Partij voor de dieren","Partij voor de dieren",1.20288530084065,-0.845830942423806,1.01585168467097,-1.79548675413462,0.625,328,714,449,711
"836","864","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Linkshandig",2,-1.20102421264331,2.25,0.915956519507576,6,1.34795041371604,4,0.530097854191498,5.33333333333333,0.608898215441253,1,2,"PVV","VVD",1.20288530084065,-1.54633010779885,-0.021797082505523,-0.180888590901622,0.25,330,744,460,818
"837","865","Meer dan driemaal modaal (100000 euro en meer) ",1,NA,"Linkshandig",3.5,0.827808744695738,1.25,-0.757150225741696,5,0.737605557528972,5,1.30085853509739,3.66666666666667,-0.390465795833958,1,6,"D66","D66",-1.61065716365595,0.905416971013799,-1.05944584968202,0.895510184587043,0.5,340,708,445,665
"838","866","Beneden-modaal (minder dan 32500)",0,NA,"Rechtshandig",2.5,-0.524746560196959,2.5,1.33423320581989,4,0.127260701341909,4,0.530097854191498,2.66666666666667,-0.990084202599084,1,4,"D66","D66",-1.61065716365595,0.555167388326278,-0.021797082505523,0.0882111029705443,0.6875,332,660,406,665
"839","867","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,NA,"Rechtshandig",2.75,-0.186607733973785,1.5,-0.338873539429378,3,-0.483084154845155,3,-0.24066282671439,4.66666666666667,0.209152610931169,1,2,"PvdA","PvdA",-0.00291861251503796,0.905416971013799,-0.800033657887896,-0.180888590901622,0.75,327,607,377,568
"840","868","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,NA,"Rechtshandig",3,0.151531092249389,1.25,-0.757150225741696,4,0.127260701341909,3,-0.24066282671439,4.33333333333333,0.00927980867612666,1,6,"D66","D66",-0.806787888085496,0.905416971013799,-1.31885804147614,-0.180888590901622,0.8125,324,747,469,641
"841","869","Beneden-modaal (minder dan 32500)",1,NA,"Linkshandig",2.5,-0.524746560196959,1.75,0.0794031468829401,5,0.737605557528972,4,0.530097854191498,4,-0.190592993578915,0,4,"Partij voor de dieren","GroenLinks",-0.00291861251503796,-0.495581359736285,0.237615109288601,0.0882111029705443,0.5625,341,692,431,721
