participant_id,age,sex,education_level,background_SES,social.ideology,social.ideology.scale,social.identity,social.identity.scale,political.interest,political.interest.scale
sub-0396,21.0,female,low,3.5,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0398,24.0,female,high,4.5,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0399,23.75,male,medium,3.0,2.5,1.33423320581989,5,1.30085853509739,,
sub-0401,22.0,female,low,3.0,1.25,-0.757150225741696,4,0.530097854191498,,
sub-0405,24.75,female,medium,2.5,3.0,2.17078657844453,3,-0.24066282671439,,
sub-0406,20.5,male,medium,3.5,2.0,0.497679833195258,3,-0.24066282671439,,
sub-0408,20.25,male,medium,4.5,2.25,0.915956519507576,1,-1.78218418852617,,
sub-0410,22.0,male,medium,4.0,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0411,25.25,male,high,2.0,1.25,-0.757150225741696,4,0.530097854191498,,
sub-0412,20.75,female,medium,5.0,2.75,1.75250989213221,4,0.530097854191498,,
sub-0414,21.25,female,high,4.0,3.5,3.00733995106917,3,-0.24066282671439,5.0,0.409025413186211
sub-0417,24.75,male,high,3.0,1.5,-0.338873539429378,4,0.530097854191498,5.66666666666667,0.808771017696296
sub-0418,24.25,female,low,2.0,1.25,-0.757150225741696,4,0.530097854191498,,
sub-0422,20.75,female,medium,4.5,3.25,2.58906326475685,6,2.07161921600328,,
sub-0423,25.5,male,medium,5.0,1.75,0.0794031468829401,3,-0.24066282671439,5.33333333333333,0.608898215441253
sub-0429,24.25,female,medium,4.5,1.75,0.0794031468829401,2,-1.01142350762028,,
sub-0430,25.75,female,high,5.0,1.25,-0.757150225741696,3,-0.24066282671439,4.0,-0.190592993578915
sub-0431,25.0,female,medium,3.5,1.0,-1.17542691205401,1,-1.78218418852617,5.66666666666667,0.808771017696296
sub-0433,25.25,female,high,5.0,1.5,-0.338873539429378,2,-1.01142350762028,4.33333333333333,0.0092798086761266
sub-0434,24.0,female,high,6.0,1.5,-0.338873539429378,4,0.530097854191498,4.33333333333333,0.0092798086761266
sub-0437,20.5,female,medium,4.0,1.75,0.0794031468829401,5,1.30085853509739,1.33333333333333,-1.78957541161925
sub-0438,23.25,female,high,3.0,1.5,-0.338873539429378,4,0.530097854191498,5.0,0.409025413186211
sub-0440,21.25,female,high,2.0,1.0,-1.17542691205401,1,-1.78218418852617,,
sub-0441,22.0,female,high,5.0,1.5,-0.338873539429378,3,-0.24066282671439,6.33333333333333,1.20851662220638
sub-0443,21.0,female,medium,4.0,1.25,-0.757150225741696,3,-0.24066282671439,4.33333333333333,0.0092798086761266
sub-0445,25.0,male,medium,3.0,1.5,-0.338873539429378,3,-0.24066282671439,6.33333333333333,1.20851662220638
sub-0446,25.25,female,medium,3.0,1.75,0.0794031468829401,2,-1.01142350762028,4.66666666666667,0.209152610931169
sub-0447,20.25,female,high,4.0,1.25,-0.757150225741696,3,-0.24066282671439,5.66666666666667,0.808771017696296
sub-0448,21.5,female,medium,4.5,1.25,-0.757150225741696,3,-0.24066282671439,1.66666666666667,-1.58970260936421
sub-0449,20.25,male,medium,3.5,1.5,-0.338873539429378,4,0.530097854191498,1.0,-1.98944821387429
sub-0451,25.5,female,medium,4.5,2.0,0.497679833195258,1,-1.78218418852617,7.0,1.60826222671646
sub-0456,21.0,male,high,5.0,1.75,0.0794031468829401,2,-1.01142350762028,,
sub-0457,24.25,male,high,6.0,1.5,-0.338873539429378,4,0.530097854191498,,
