"","participant_id","age","sex","education_level","background_SES","social.ideology","social.ideology.scale","social.identity","social.identity.scale","political.interest","political.interest.scale"
"224","sub-0233",25,"male","low",5,2,0.497679833195258,4,0.530097854191498,NA,NA
"225","sub-0234",21.5,"male","medium",6,2,0.497679833195258,4,0.530097854191498,NA,NA
"226","sub-0235",22.25,"male","medium",4,1.75,0.0794031468829401,2,-1.01142350762028,NA,NA
"227","sub-0236",20.25,"female","medium",3,1.5,-0.338873539429378,1,-1.78218418852617,NA,NA
"228","sub-0237",23,"female","high",6,1.5,-0.338873539429378,2,-1.01142350762028,NA,NA
"229","sub-0238",24.25,"male","medium",3.5,2.25,0.915956519507576,1,-1.78218418852617,NA,NA
"230","sub-0239",23,"male","medium",6,2.25,0.915956519507576,3,-0.24066282671439,NA,NA
"231","sub-0240",25,"male","medium",2,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"232","sub-0241",20.5,"female","high",3,2,0.497679833195258,2,-1.01142350762028,NA,NA
"233","sub-0242",24,"male","high",5,1,-1.17542691205401,2,-1.01142350762028,NA,NA
"234","sub-0243",23,"female","medium",2.5,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"235","sub-0244",21.5,"male","medium",6,1.25,-0.757150225741696,3,-0.24066282671439,NA,NA
"236","sub-0245",22,"male","medium",4,3,2.17078657844453,3,-0.24066282671439,NA,NA
"237","sub-0246",22.5,"male","medium",5,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
"238","sub-0247",23.25,"male","low",2,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"239","sub-0248",20.75,"male","high",4.5,1.25,-0.757150225741696,2,-1.01142350762028,NA,NA
"240","sub-0249",22.5,"female","high",4,1,-1.17542691205401,4,0.530097854191498,NA,NA
"241","sub-0250",21,"male","medium",5,1.25,-0.757150225741696,4,0.530097854191498,NA,NA
"242","sub-0252",25,"male","medium",3,2.5,1.33423320581989,4,0.530097854191498,NA,NA
"243","sub-0253",24.5,"male","high",6,2,0.497679833195258,7,2.84237989690916,NA,NA
"244","sub-0254",20.5,"female","medium",2.5,1.5,-0.338873539429378,3,-0.24066282671439,NA,NA
"245","sub-0255",23.25,"female","high",3,1.75,0.0794031468829401,5,1.30085853509739,NA,NA
"246","sub-0256",23.25,"male","low",3,2.75,1.75250989213221,7,2.84237989690916,NA,NA
"247","sub-0257",23.75,"female","high",3,1,-1.17542691205401,4,0.530097854191498,NA,NA
"248","sub-0258",21.5,"male","medium",2.5,4.75,5.09872338263076,4,0.530097854191498,NA,NA
"249","sub-0259",23.5,"female","medium",2.5,1.75,0.0794031468829401,1,-1.78218418852617,NA,NA
"250","sub-0260",21.5,"female","medium",3,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"251","sub-0261",21,"male","medium",4,2.25,0.915956519507576,2,-1.01142350762028,NA,NA
"252","sub-0262",20.75,"female","high",4,2,0.497679833195258,3,-0.24066282671439,NA,NA
"253","sub-0263",21,"female","high",6,1,-1.17542691205401,2,-1.01142350762028,NA,NA
"254","sub-0264",24,"female","medium",3.5,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"255","sub-0265",24.5,"male","medium",5,2,0.497679833195258,4,0.530097854191498,NA,NA
"256","sub-0266",24.25,"female","high",5,1,-1.17542691205401,1,-1.78218418852617,NA,NA
"257","sub-0267",21.25,"female","high",2,1.75,0.0794031468829401,2,-1.01142350762028,NA,NA
"258","sub-0268",23.5,"male","high",4.5,2.25,0.915956519507576,4,0.530097854191498,NA,NA
"259","sub-0269",25.75,"female","high",5,1.5,-0.338873539429378,2,-1.01142350762028,NA,NA
"260","sub-0270",25,"male","high",5,1.25,-0.757150225741696,3,-0.24066282671439,NA,NA
"261","sub-0271",24.25,"male","medium",3.5,1.25,-0.757150225741696,1,-1.78218418852617,NA,NA
"262","sub-0272",22.75,"female","low",4,1,-1.17542691205401,3,-0.24066282671439,NA,NA
"263","sub-0273",23.25,"female","high",4.5,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"264","sub-0274",25.5,"male","high",5.5,2,0.497679833195258,3,-0.24066282671439,NA,NA
"265","sub-0275",25.5,"male","high",5.5,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
"266","sub-0276",23.5,"male","medium",5,1.25,-0.757150225741696,2,-1.01142350762028,NA,NA
"267","sub-0277",20.75,"male","medium",3,1.25,-0.757150225741696,4,0.530097854191498,NA,NA
"268","sub-0278",24.75,"female","medium",4.5,2,0.497679833195258,5,1.30085853509739,NA,NA
